"gene","start","end"
"PF3D7_0102000",93113,93875
"PF3D7_0102100",95050,95899
"PF3D7_0102200",97590,103615
"PF3D7_0102300",104058,105792
"PF3D7_0102400",107197,108348
"PF3D7_0102500",109005,117516
"PF3D7_0102600",118812,122534
"PF3D7_0102700",124394,126213
"PF3D7_0102800",125835,128373
"PF3D7_0102900",128569,131554
"PF3D7_0103000",131609,134133
"PF3D7_0103100",134155,140371
"PF3D7_0103200",140494,143049
"PF3D7_0103300",143389,146959
"PF3D7_0103400",147031,152795
"PF3D7_0103500",153669,160630
"PF3D7_0103600",160673,166273
"PF3D7_0103700",166497,168687
"PF3D7_0103800",168768,171442
"PF3D7_0103900",172470,175055
"PF3D7_0104000",175609,176376
"PF3D7_0104100",177187,181825
"PF3D7_0104200",182205,184820
"PF3D7_0104300",188420,201324
"PF3D7_0104400",201354,204250
"PF3D7_0104500",204368,205612
"PF3D7_0104600",205812,210273
"PF3D7_0104700",210870,213005
"PF3D7_0104800",215143,217616
"PF3D7_0104900",218517,218824
"PF3D7_0105000",218894,219223
"PF3D7_0105100",220727,221928
"PF3D7_0105200",222086,224501
"PF3D7_0105300",224638,226017
"PF3D7_0105400",226036,227419
"PF3D7_0105500",228485,229519
"PF3D7_0105600",229943,234464
"PF3D7_0105700",238666,247857
"PF3D7_0105800",248434,253057
"PF3D7_0105900",253089,255771
"PF3D7_0106000",255113,258624
"PF3D7_0106100",260105,262008
"PF3D7_0106200",262750,264323
"PF3D7_0106300",264487,270234
"PF3D7_0106400",272296,273701
"PF3D7_0106500",274094,278747
"PF3D7_0106600",279115,280014
"PF3D7_0106700",280595,285875
"PF3D7_0106800",286637,289063
"PF3D7_0106900",289849,292802
"PF3D7_0107000",293262,295139
"PF3D7_0107100",295177,296959
"PF3D7_0107200",297189,299513
"PF3D7_0107300",299464,301151
"PF3D7_0107400",302509,304236
"PF3D7_0107500",303437,311928
"PF3D7_0107600",313824,319525
"PF3D7_0107700",320168,321508
"PF3D7_0107800",321757,326180
"PF3D7_0107900",326323,327365
"PF3D7_0108000",328171,329995
"PF3D7_0108100",330597,332834
"PF3D7_0108300",334374,344369
"PF3D7_0108400",344373,347320
"PF3D7_0108500",347246,350568
"PF3D7_0108600",348892,351747
"PF3D7_0108700",351787,356984
"PF3D7_0108800",357279,360804
"PF3D7_0108900",361987,362586
"PF3D7_0109000",363318,363992
"PF3D7_0109100",365266,369336
"PF3D7_0109200",369251,370907
"PF3D7_0109300",371146,373063
"PF3D7_0109400",373864,375683
"PF3D7_0109500",376164,377704
"PF3D7_0109600",377795,378599
"PF3D7_0109700",378653,380086
"PF3D7_0109800",380254,382568
"PF3D7_0109850",383092,386632
"PF3D7_0109950",386708,387940
"PF3D7_0110000",388192,389559
"PF3D7_0110100",388887,392185
"PF3D7_0110200",392323,393620
"PF3D7_0110300",393216,393490
"PF3D7_0110400",393695,395222
"PF3D7_0110500",396580,403838
"PF3D7_0110600",405007,412453
"PF3D7_0110700",413076,417001
"PF3D7_0110800",417254,420218
"PF3D7_0110900",419727,420942
"PF3D7_0111000",421776,427575
"PF3D7_0111200",429849,430879
"PF3D7_0111300",431167,436457
"PF3D7_0111400",436179,439368
"PF3D7_0111500",439395,442195
"PF3D7_0111600",442380,443473
"PF3D7_0111700",443476,444682
"PF3D7_0111800",444710,449954
"PF3D7_0111900",450043,450646
"PF3D7_0112000",450831,453118
"PF3D7_0112100",454847,455338
"PF3D7_0112200",463764,471891
